img_1,img_2,id_1,id_2
Abel_Pacheco_0001.jpg,Abel_Pacheco_0004.jpg,23,23
Akhmed_Zakayev_0001.jpg,Akhmed_Zakayev_0003.jpg,79,79
Akhmed_Zakayev_0002.jpg,Akhmed_Zakayev_0003.jpg,79,79
Amber_Tamblyn_0001.jpg,Amber_Tamblyn_0002.jpg,220,220
Anders_Fogh_Rasmussen_0001.jpg,Anders_Fogh_Rasmussen_0003.jpg,246,246
Anders_Fogh_Rasmussen_0001.jpg,Anders_Fogh_Rasmussen_0004.jpg,246,246
Angela_Bassett_0001.jpg,Angela_Bassett_0005.jpg,297,297
Angela_Bassett_0002.jpg,Angela_Bassett_0005.jpg,297,297
Angela_Bassett_0003.jpg,Angela_Bassett_0004.jpg,297,297
Ann_Veneman_0003.jpg,Ann_Veneman_0005.jpg,335,335
Ann_Veneman_0006.jpg,Ann_Veneman_0010.jpg,335,335
Ann_Veneman_0010.jpg,Ann_Veneman_0011.jpg,335,335
Anthony_Fauci_0001.jpg,Anthony_Fauci_0002.jpg,340,340
Antony_Leung_0001.jpg,Antony_Leung_0002.jpg,360,360
Antony_Leung_0002.jpg,Antony_Leung_0003.jpg,360,360
Anwar_Ibrahim_0001.jpg,Anwar_Ibrahim_0002.jpg,363,363
Augusto_Pinochet_0001.jpg,Augusto_Pinochet_0002.jpg,425,425
Barbara_Brezigar_0001.jpg,Barbara_Brezigar_0002.jpg,439,439
Benjamin_Netanyahu_0001.jpg,Benjamin_Netanyahu_0004.jpg,479,479
Benjamin_Netanyahu_0004.jpg,Benjamin_Netanyahu_0005.jpg,479,479
Bernard_Law_0002.jpg,Bernard_Law_0003.jpg,502,502
Bernard_Law_0003.jpg,Bernard_Law_0004.jpg,502,502
Bertrand_Bonello_0001.jpg,Bertrand_Bonello_0002.jpg,507,507
Bill_Frist_0002.jpg,Bill_Frist_0009.jpg,550,550
Bill_Frist_0004.jpg,Bill_Frist_0005.jpg,550,550
Bob_Graham_0002.jpg,Bob_Graham_0004.jpg,604,604
Bob_Graham_0003.jpg,Bob_Graham_0006.jpg,604,604
Bob_Graham_0004.jpg,Bob_Graham_0006.jpg,604,604
Bob_Graham_0005.jpg,Bob_Graham_0006.jpg,604,604
Boris_Becker_0002.jpg,Boris_Becker_0006.jpg,627,627
Brad_Johnson_0001.jpg,Brad_Johnson_0003.jpg,642,642
Brad_Johnson_0002.jpg,Brad_Johnson_0003.jpg,642,642
Brad_Johnson_0002.jpg,Brad_Johnson_0004.jpg,642,642
Brian_Griese_0001.jpg,Brian_Griese_0002.jpg,685,685
Candice_Bergen_0001.jpg,Candice_Bergen_0002.jpg,754,754
Candice_Bergen_0002.jpg,Candice_Bergen_0003.jpg,754,754
Carla_Myers_0001.jpg,Carla_Myers_0002.jpg,764,764
Cathy_Freeman_0001.jpg,Cathy_Freeman_0002.jpg,835,835
Chang_Dae-whan_0001.jpg,Chang_Dae-whan_0002.jpg,854,854
Charles_Grassley_0001.jpg,Charles_Grassley_0002.jpg,869,869
Clare_Short_0001.jpg,Clare_Short_0003.jpg,1015,1015
Clare_Short_0001.jpg,Clare_Short_0004.jpg,1015,1015
Corinne_Coman_0001.jpg,Corinne_Coman_0002.jpg,1068,1068
Dai_Bachtiar_0001.jpg,Dai_Bachtiar_0002.jpg,1102,1102
Dale_Earnhardt_Jr_0001.jpg,Dale_Earnhardt_Jr_0003.jpg,1108,1108
David_Caruso_0001.jpg,David_Caruso_0002.jpg,1219,1219
Demi_Moore_0001.jpg,Demi_Moore_0003.jpg,1296,1296
Dick_Vermeil_0001.jpg,Dick_Vermeil_0002.jpg,1354,1354
Doris_Roberts_0001.jpg,Doris_Roberts_0002.jpg,1416,1416
Doris_Roberts_0001.jpg,Doris_Roberts_0003.jpg,1416,1416
Drew_Barrymore_0001.jpg,Drew_Barrymore_0002.jpg,1435,1435
Edmund_Stoiber_0004.jpg,Edmund_Stoiber_0007.jpg,1473,1473
Edmund_Stoiber_0005.jpg,Edmund_Stoiber_0007.jpg,1473,1473
Edmund_Stoiber_0007.jpg,Edmund_Stoiber_0012.jpg,1473,1473
Edmund_Stoiber_0009.jpg,Edmund_Stoiber_0011.jpg,1473,1473
Elinor_Caplan_0001.jpg,Elinor_Caplan_0002.jpg,1527,1527
Emmanuelle_Beart_0001.jpg,Emmanuelle_Beart_0002.jpg,1575,1575
Emmanuelle_Beart_0001.jpg,Emmanuelle_Beart_0003.jpg,1575,1575
Federico_Trillo_0001.jpg,Federico_Trillo_0002.jpg,1683,1683
Federico_Trillo_0001.jpg,Federico_Trillo_0003.jpg,1683,1683
